COH_sample	batch	batch1	batch2	batch3
COH000231_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000232_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000233_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000234_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000235_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000236_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000237_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000238_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000239_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000240_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000241_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000242_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000243_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000244_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000245_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000246_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000247_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000248_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000249_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000250_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000251_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000252_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000253_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000254_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000255_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000256_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000257_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000258_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000259_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000260_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000261_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000262_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000263_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000264_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000265_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000266_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000267_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000268_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000269_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000270_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000271_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000272_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000273_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000274_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000275_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000276_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000277_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000278_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000279_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000280_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000281_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000282_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000283_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000284_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000285_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000286_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000287_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000288_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000289_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000290_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000291_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000292_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000293_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000294_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000295_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000296_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000297_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000298_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000299_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000300_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000301_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000302_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000303_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000304_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000305_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000306_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000307_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000308_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000309_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000310_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000311_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000312_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000313_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000314_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000315_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000316_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000317_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000318_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000319_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000320_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000321_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000322_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000323_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000324_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000325_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000326_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000327_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000328_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
