FeatureN	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
3500	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3550	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3600	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3650	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3700	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3750	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3800	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3850	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3900	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3950	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4000	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4050	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4100	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4150	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4200	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4250	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4300	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4350	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
4400	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
4450	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
4500	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
4550	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
4600	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
4650	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
4700	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
4750	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
