COH_sample	X	Y	Z	PerplexityN	FeatureN
COH000198_D1	-0.362856329315504	-14.1299747394964	-34.0150826204885	20	200
COH000199_D1	-7.69087372099972	6.08849544919571	22.698288262087	20	200
COH000201_D1	-0.717683175860776	-10.784771782496	-30.5018671353176	20	200
COH000202_D1	-7.66733612131907	10.5438743523718	14.3513133501038	20	200
COH000204_D1	36.047483508476	31.2060852211095	-6.38635362716261	20	200
COH000205_D1	-3.1561614161709	-10.861088380845	-28.6150755201607	20	200
COH000206_D1	-0.121660953688804	-11.0910491737492	-25.9739263468046	20	200
COH000207_D1	-11.335809292996	6.27535417498659	21.0412082952185	20	200
COH000208_D1	31.737262427072	26.6920806375718	1.08626227625715	20	200
COH000209_D1	-15.5795860268078	21.7359511658273	13.2871433613935	20	200
COH000210_D1	-6.50954891650086	-48.3860293998234	5.83806410041729	20	200
COH000211_D1	20.4158508113289	-1.06596922652765	13.3872391097518	20	200
COH000212_D1	5.10154836589443	35.1417569142654	40.9462407415288	20	200
COH000213_D1	-0.640712110378711	-8.48952746829417	-29.5188689250628	20	200
COH000214_D1	6.02965709698708	-54.2655817588899	6.90859236525823	20	200
COH000215_D1	23.8606667097259	18.0025313314022	-45.8340449672025	20	200
COH000216_D1	0.587164619037174	-13.9996185311961	-23.5684710241446	20	200
COH000217_D1	-3.83482245771271	-11.1084904844115	-27.0825489542167	20	200
COH000218_D1	-15.2914543990644	12.9546304661483	14.7361545939873	20	200
COH000219_D1	-0.427043490266598	-7.85995672877485	-36.5117700422375	20	200
COH000220_D1	1.44601537189404	-51.5569341390328	6.76737974878631	20	200
COH000221_D1	-0.990636087468427	-10.2508500534452	-28.0104505812901	20	200
COH000222_D1	-2.16991879769479	-53.6443745774001	2.45564046402518	20	200
COH000223_D1	1.14448554390907	-43.126295667072	15.6754183545962	20	200
COH000224_D1	1.54382653282878	-19.8670278629195	-26.2831237397489	20	200
COH000225_D1	-21.3521324139141	29.9086000259694	24.2958034921578	20	200
COH000226_D1	20.5863783106326	-8.88346085467129	46.1594608137327	20	200
COH000227_D1	2.07382089348689	-11.2755691380239	-28.1694818181851	20	200
COH000228_D1	1.26667968716536	-48.3358198225954	8.49768790687084	20	200
COH000229_D1	33.981039837058	16.9369850872061	-42.6770945186511	20	200
COH000230_D1	-3.14754071555593	-48.8227999183188	6.34531109488135	20	200
COH000231_D1	-6.01400508147092	-46.2526138679008	5.61975010432076	20	200
COH000232_D1	-0.2099137983478	-47.5478186754353	5.88046091099165	20	200
COH000233_D1	30.7800649648046	22.2438654412241	-45.3481757843587	20	200
COH000234_D1	0.993676983237498	-15.6967548273139	-31.2785306580193	20	200
COH000235_D1	0.572431931956951	-20.2139174057383	-26.169538032605	20	200
COH000236_D1	-6.56383059890006	19.2078498534657	26.2853193572887	20	200
COH000237_D1	-9.61208795607385	10.8866088810449	22.7213075821964	20	200
COH000238_D1	-4.72619177813567	-51.2898533765386	4.47251868650668	20	200
COH000240_D1	-13.8090298090544	21.3496734148083	16.1875066800961	20	200
COH000241_D1	23.1656273212204	13.7172899189088	-44.3568669986047	20	200
COH000243_D1	-3.81106336942721	-47.7072764527966	1.54392183328484	20	200
COH000244_D1	-1.08489299511099	-17.6715221057515	-22.9480187942771	20	200
COH000245_D1	-0.0749179658686278	-13.286911948561	-27.165108234064	20	200
COH000246_D1	-54.2392817659493	-3.86900078049355	4.67471259668006	20	200
COH000247_D1	23.1976949062524	16.8231428571424	-43.4749087394765	20	200
COH000248_D1	24.1559341028085	13.4844576928097	-42.9452174536719	20	200
COH000249_D1	-1.45762399746874	-20.8757694827759	-29.9116565792567	20	200
COH000250_D1	0.9841715009101	-47.8131759065436	0.200646294650538	20	200
COH000251_D1	27.2262295844687	-22.5707056228741	-9.51764397357117	20	200
COH000252_D1	9.36023396343254	-47.1800846628828	6.06625561319875	20	200
COH000253_D1	0.796295492261707	-45.9334612191801	7.40720257281481	20	200
COH000254_D1	0.108485208162266	-13.5835622563745	-22.3151041034968	20	200
COH000255_D1	-55.2960184616488	-0.457623455098948	3.85163208701368	20	200
COH000256_D1	-4.08573689458531	-47.4847640844607	7.43645067982759	20	200
COH000258_D1	0.588149237580954	-6.96683038935646	-31.5871223066715	20	200
COH000259_D1	0.260018143148819	-47.7832908776378	8.23529848545081	20	200
COH000261_D1	-24.2406163146085	12.0329579215652	-23.4306706900509	20	200
COH000263_D1	21.2350309124128	1.48101785965568	14.2363146673321	20	200
COH000264_D1	19.0423361277859	0.881594333881362	11.9134968938467	20	200
COH000265_D1	39.6972644323783	-9.2046252237961	16.6178649491585	20	200
COH000267_D1	21.0772140528148	2.16665319999544	13.9402452970344	20	200
COH000268_D1	-45.8854525848009	8.9305283508667	1.33413709158815	20	200
COH000269_D1	17.8301809932855	-1.0435197225098	10.9294120550647	20	200
COH000273_D1	-60.9566600297533	-2.03214141112198	6.87270813469423	20	200
COH000274_D1	-10.1154153112578	6.93773399414948	27.9021247544105	20	200
COH000276_D1	17.0461204886948	-1.63617133246796	12.1208611195632	20	200
COH000277_D1	-56.6120480462948	0.793370547063221	9.52658836742028	20	200
COH000280_D1	-1.3506862037809	48.1288656062697	-9.55460103045144	20	200
COH000281_D1	-7.9527168085129	11.2767081544775	22.0966863623064	20	200
COH000282_D1	13.0392154406051	-2.25183860022218	10.2891789120409	20	200
COH000286_D1	31.7274497798181	29.417324352704	-3.17207945552534	20	200
COH000287_D1	-5.18512924599308	59.8339270440316	-1.18142047537786	20	200
COH000289_D1	-10.1541665788846	15.0929821875552	11.1515910519828	20	200
COH000290_D1	-0.989981570991528	49.4313185656103	-4.57577757841977	20	200
COH000291_D1	-55.926989735962	2.57774782465345	8.5826008925605	20	200
COH000293_D1	-6.22254303475045	-45.5943116139455	5.84613821830728	20	200
COH000295_D1	-57.346019305815	5.48569382804096	7.60232067296564	20	200
COH000297_D1	17.6643142950491	-1.0137469101068	11.5822714572339	20	200
COH000299_D1	-57.1556256437759	1.8272379362107	5.21654170346043	20	200
COH000301_D1	-2.62460316459279	50.7767311152015	-2.29743910501501	20	200
COH000302_D1	-4.17815587855125	56.1399459642368	-3.50458116778414	20	200
COH000304_D1	-33.3283090369558	-10.1475458741968	-7.93288253134394	20	200
COH000305_D1	-59.5989669059749	4.06732920116776	6.87752628142705	20	200
COH000306_D1	36.5006472294885	-6.75148118829677	16.4383273816654	20	200
COH000307_D1	-57.3892999096928	5.61721944181091	7.1899170522784	20	200
COH000308_D1	-4.59941875131122	57.1588998336323	-3.56924206744472	20	200
COH000309_D1	15.2630882153882	-2.50715849252944	11.2092923641857	20	200
COH000311_D1	-33.7279164210574	-11.6611837188921	-8.39050106606991	20	200
COH000312_D1	34.7158611918575	17.9204441740462	-41.9300772294901	20	200
COH000313_D1	-30.7372019805745	-11.1375763421149	-1.4092335702292	20	200
COH000316_D1	-6.22519556227511	57.7860406185556	0.913810443790599	20	200
COH000318_D1	38.5683654636519	-7.03960767935125	16.8316219180294	20	200
COH000323_D1	-58.9053620745438	0.817728641361592	7.94994869019626	20	200
COH000324_D1	6.55072902243706	33.3908994417385	40.1416614668159	20	200
COH000325_D1	17.8811689959009	-7.26485394697719	11.6961244345853	20	200
COH000327_D1	2.97288735204226	29.3652084084974	-8.14740635104065	20	200
COH000329_D1	32.2934440171821	-27.5657130551126	-9.00425076397903	20	200
COH000330_D1	6.43803569684679	36.4206264116318	38.4746406876402	20	200
COH000331_D1	17.5403732581074	-6.28364420429789	46.4212795254608	20	200
COH000332_D1	-6.85605957561951	59.0952473402382	0.479549380180988	20	200
COH000334_D1	21.1210343139102	-7.05750673418526	45.1272079764646	20	200
COH000335_D1	-0.275413394784771	46.8126885846662	-9.06661984402229	20	200
COH000336_D1	19.5427768923776	-5.42408028980774	44.2090996371676	20	200
COH000337_D1	-2.12722374971377	47.3100342230798	-7.98188671540831	20	200
COH000338_D1	-20.96382252928	31.5657732580691	23.0505887465338	20	200
COH000339_D1	33.0257169075226	20.9330074271666	-43.0302145193965	20	200
